Country,Region,Year,GDP_per_capita,Life_expectancy
Spain,European Union,2015,25742.0,82.8
Malta,European Union,2007,19338.0,79.8
Finland,European Union,2013,43045.0,81.0
Germany,European Union,2010,37761.0,80.0
Denmark,European Union,2009,50457.0,78.6
Sweden,European Union,2010,48370.0,81.5
Austria,European Union,2014,44245.0,81.5
Greece,European Union,2009,22839.0,80.2
Croatia,European Union,2006,11960.0,75.8
Germany,European Union,2004,35034.0,78.7
France,European Union,2014,36379.0,82.7
